Scientific Name,USDA SYMBOL,CoC Region,CVal Orig,CVal New
ARALIA RACEMOSA,ARRA,MN,NA,7
ARCEUTHOBIUM PUSILLUM,ARPU3,MI,10,10
ARCEUTHOBIUM PUSILLUM,ARPU3,MN,6,6
ARCTIUM,ARCTI,58,NA,0
ARCTIUM MINUS,ARMI2,58,0,0
ARCTIUM MINUS,ARMI2,62,NA,0
ARCTIUM MINUS,ARMI2,IN,0,0
ARCTIUM MINUS,ARMI2,MN,NA,0
ARCTIUM MINUS,ARMI2,WI,0,0
ARETHUSA BULBOSA,ARBU,82,9,9
ARETHUSA BULBOSA,ARBU,WI,10,10
ARGENTINA ANSERINA,ARAN7,83,4,4
ARGENTINA ANSERINA,ARAN7,MN,4,4
ARGENTINA ANSERINA,ARAN7,WI,4,4
ARISAEMA DRACONTIUM,ARDR3,MI,8,8
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,58,5,5
ARISAEMA TRIPHYLLUM,ARTR,59,5,5
ARISAEMA TRIPHYLLUM,ARTR,59,5,5
ARISAEMA TRIPHYLLUM,ARTR,59,5,5
ARISAEMA TRIPHYLLUM,ARTR,59,5,5
ARISAEMA TRIPHYLLUM,ARTR,61,5,5
ARISAEMA TRIPHYLLUM,ARTR,62,5,5
ARISAEMA TRIPHYLLUM,ARTR,82,6,6
ARISAEMA TRIPHYLLUM,ARTR,83,5,5
ARISAEMA TRIPHYLLUM,ARTR,IN,4,4
ARISAEMA TRIPHYLLUM,ARTR,MI,5,5
ARISAEMA TRIPHYLLUM,ARTR,MN,4,4
ARISAEMA TRIPHYLLUM,ARTR,WI,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,58,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,58,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,58,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,59,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,59,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,59,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,82,6,6
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,83,5,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,MI,NA,5
ARISAEMA TRIPHYLLUM SSP. TRIPHYLLUM,ARTRT3,MN,NA,5
ARONIA,ARONI2,62,NA,8
ARONIA ARBUTIFOLIA,ARAR7,59,5,5
ARONIA ARBUTIFOLIA,ARAR7,62,8,8
ARONIA MELANOCARPA,ARME6,58,5,5
ARONIA MELANOCARPA,ARME6,58,5,5
ARONIA MELANOCARPA,ARME6,58,5,5
ARONIA MELANOCARPA,ARME6,58,5,5
ARONIA MELANOCARPA,ARME6,59,5,5
ARONIA MELANOCARPA,ARME6,59,5,5
ARONIA MELANOCARPA,ARME6,59,5,5
ARONIA MELANOCARPA,ARME6,61,8,8
ARONIA MELANOCARPA,ARME6,62,8,8
ARONIA MELANOCARPA,ARME6,82,5,5
ARONIA MELANOCARPA,ARME6,83,5,5
ARONIA MELANOCARPA,ARME6,IN,NA,8
ARONIA MELANOCARPA,ARME6,MN,7,7
ARONIA MELANOCARPA,ARME6,WI,7,7
ARONIA xPRUNIFOLIA,ARPR2,58,5,5
ARONIA xPRUNIFOLIA,ARPR2,58,5,5
ARONIA xPRUNIFOLIA,ARPR2,58,5,5
ARONIA xPRUNIFOLIA,ARPR2,59,5,5
ARONIA xPRUNIFOLIA,ARPR2,59,5,5
ARONIA xPRUNIFOLIA,ARPR2,59,5,5
ARONIA xPRUNIFOLIA,ARPR2,59,5,5
ARONIA xPRUNIFOLIA,ARPR2,61,8,8
ARONIA xPRUNIFOLIA,ARPR2,82,6,6
ARONIA xPRUNIFOLIA,ARPR2,83,6,6
ARONIA xPRUNIFOLIA,ARPR2,MI,5,5
ARTEMISIA VULGARIS,ARVU,83,0,0
ASARUM CANADENSE,ASCA,MI,5,5
ASARUM CANADENSE,ASCA,MN,NA,7
ASCLEPIAS,ASCLE,58,NA,Und
ASCLEPIAS,ASCLE,58,NA,5
ASCLEPIAS,ASCLE,MI,NA,7
ASCLEPIAS INCARNATA,ASIN,58,4,4
ASCLEPIAS INCARNATA,ASIN,58,4,4
ASCLEPIAS INCARNATA,ASIN,59,4,4
ASCLEPIAS INCARNATA,ASIN,59,4,4
ASCLEPIAS INCARNATA,ASIN,59,4,4
ASCLEPIAS INCARNATA,ASIN,61,5,5
ASCLEPIAS INCARNATA,ASIN,62,5,5
ASCLEPIAS INCARNATA,ASIN,82,4,4
ASCLEPIAS INCARNATA,ASIN,83,4,4
ASCLEPIAS INCARNATA,ASIN,83,4,4
ASCLEPIAS INCARNATA,ASIN,IN,NA,4
ASCLEPIAS INCARNATA,ASIN,MI,6,6
ASCLEPIAS INCARNATA,ASIN,MN,NA,5
ASCLEPIAS INCARNATA,ASIN,WI,5,5
ASCLEPIAS INCARNATA SSP. INCARNATA,ASINI,58,NA,4
ASCLEPIAS INCARNATA SSP. INCARNATA,ASINI,59,NA,4
ASCLEPIAS INCARNATA SSP. INCARNATA,ASINI,83,NA,4
ASCLEPIAS INCARNATA SSP. INCARNATA,ASINI,MN,NA,4
ASCLEPIAS PURPURASCENS,ASPU2,MI,9,9
ASCLEPIAS SYRIACA,ASSY,83,1,1
ASCLEPIAS SYRIACA,ASSY,MN,NA,1
ASCLEPIAS SYRIACA,ASSY,WI,1,1
ASIMINA TRILOBA,ASTR,MI,9,9
ASTER S.L.,1ASTSL,58,NA,Und
ASTER S.L.,1ASTSL,58,NA,Und
ASTER S.L.,1ASTSL,58,NA,Und
ASTER S.L.,1ASTSL,59,NA,Und
ASTER S.L.,1ASTSL,59,NA,Und
ASTER S.L.,1ASTSL,61,NA,5
ASTER S.L.,1ASTSL,61,NA,5
ASTER S.L.,1ASTSL,62,NA,5
ASTER S.L.,1ASTSL,82,NA,Und
ASTER S.L.,1ASTSL,83,NA,4
ASTER S.L.,1ASTSL,MI,NA,5
ASTER S.L.,1ASTSL,MN,NA,5
ASTER S.L.,1ASTSL,WI,NA,5
ASTERACEAE,ASTERA,59,NA,Und
ASTERACEAE,ASTERA,62,NA,Und
ASTERACEAE,ASTERA,82,NA,Und
ASTERACEAE,ASTERA,83,NA,Und
ASTERACEAE,ASTERA,IN,NA,Und
ASTERACEAE,ASTERA,MI,NA,Und
ASTERACEAE,ASTERA,MN,NA,Und
ASTERACEAE,ASTERA,WI,NA,Und
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,58,4,4
ATHYRIUM FILIX-FEMINA,ATFI,59,5,5
ATHYRIUM FILIX-FEMINA,ATFI,59,5,5
